Organization Name,City,Address,Latitude,Longitude,Province/State,Sector/Type,Services Offered,Website,Email Address,Phone Number,Contact Name,Notes
Desai Accelerator,"Ann Arbor, MI","701 Tappan Ave R2420, Ann Arbor, MI 48109",42.2737,-83.7395,MI,Accelerator/Incubator Programs,"Startup acceleration, entrepreneurship, business mentorship, internships",https://desaiaccelerator.umich.edu/,,,,"Provides internships, programs, and resources."
Merit Network,"Ann Arbor, MI","880 Technology Drive, Suite B, Ann Arbor, MI 48108-8963",42.2139,-83.745,MI,Ecosystem & Business Networks,"Digital networking, security, support",https://www.merit.edu/,info@merit.edu,734.527.5700,,Independent nonprofit corporation governed by Michigan's public universities.
Birmingham Angels,"Birmingham, MI","34300 Woodward Ave Suite #200, Birmingham, MI 48009",42.5517,-83.2151,MI,VC and Funding,"Fund scalable tech companies in a variety of stages, industies, and market verticals.",https://birminghamangels.org/,dyork@citysidevc.com,248.605.2029,,"Autonomive, SaaS, Wearble technology, Medical tech & telehealth, Agricutural & food tech, Fintech, Technology in motion, Blockchain software, AI, Digital media & intelligent commerce"
Michigan Venture Capital Association (MVCA),"Bloomfield Fields, MI","6632 Telegraph Rd #286, Bloomfield Hills, MI 48301",42.5419,-83.2854,MI,VC and Funding,"Venture capital, investments",https://michiganvca.org/,info@michiganvca.org,,,"Advocates for policies, connects members to entrepreneurial community"
PROTO Accelerator,"Lansing, MI","1000 S. Washington, Ste 201, Lansing, MI 48910",42.723,-84.5527,MI,Accelerator/Incubator Programs,"Startups, tech acceleration",https://www.protoaccelerator.com/,,517.643.1564,Anum Mughal,"Provides tech startups with capital, expertise, and accountability."
Detroit Regional Partnership,"Detroit, MI","1001 Woodward Ave Suite 800, Detroit, MI 48226",42.332,-83.0476,MI,Ecosystem & Business Networks,"Economic development, business attraction, project management",https://www.detroitregionalpartnership.com/,kent.spencer@detroitregionalpartnership.com,3135185600,Kent Spencer,Regional economic development
LIFT Tech,"Detroit, MI","1400 Rosa Parks Boulevard, Detroit, MI 48216",42.3262,-83.0686,MI,Accelerator/Incubator Programs,"Manufacturing innovation, tech advancement, systems engineering, talent development",https://lift.technology/,communications@almmii.org,(313) 309-9003,,Membership based organization.
TechStars Detroit,"Detroit, MI","1420 Washington Blvd, Detroit, MI 48226",42.3341,-83.0504,MI,Accelerator/Incubator Programs,"Startup acceleration, venture funding community partnerships, vetical network partnerships",https://www.techstars.com/accelerators,,,,"Global network, mentorship driven accelerator. "
Urban Tech Xchange (UTX),"Detroit, MI","1520 Woodward Ave, Suite 300, Detroit, MI 48226",42.3346,-83.0496,MI,Accelerator/Incubator Programs,"Urban innovation, smart cities, sustainability, energy, community health, accessibility, user experience",https://urbantechxchange.com/,info@urbantechxchange.com,313.220.2456,,"UTX is a Detroit-based lab for tech providers, developers, educators, and researchers committed to building equiatble and sustainable cities."
Rockbridge Growth Equity,"Detroit, MI","1555 Broadway St 4th Floor, Detroit, MI 48226",42.3352,-83.0459,MI,VC and Funding,"Tech, Growth-Stage",https://www.rbequity.com/,SukhbirSingh@rbequity.com,,"Sukhbir Singh, Director of Portfolio Resources Group","Series B, Growth."
Build Institute,"Detroit, MI","1620 Michigan Ave, Detroit, MI 48216",42.3256,-83.068,MI,Entrepreneurship/Small Business/Non-Profit Support,"Entrepreneur training, masterclasses, access to network",https://www.buildinstitute.org/,hello@buildinstitute.org,313.265.3590,,"Offers classes, networking events, mentorship, and connctions to resources."
500 Startups Detroit,"Detroit, MI","1701 Trumbull Ave, Detroit, MI 48216",42.325,-83.0703,MI,Accelerator/Incubator Programs,"Venture capital, startups, growth",https://www.500.co/,couldn't find online,,,Focused on the U.S. anbd global markets.
Detroit Smart Parking Lab,"Detroit, MI","1701 W. Lafayette Blvd, Detroit, MI 48216",42.3242,-83.0709,MI,Accelerator/Incubator Programs,"Smart parking technology, smart cities, urban transportation.",https://www.detroitsmartparkinglab.org/,,,,Offers collaboration and a neutral platform to examine ways to improve customer experiences and the efficient movement of vehicles and goods in defined spaces.
City of Detroit,"Detroit, MI","2 Woodward Ave, Detroit, MI 48226",42.32969,-83.04357,MI,Ecosystem & Business Networks,"Economic development, tech innovation",https://detroitmi.gov/,,,,Hub to learn about Detroit city services and resources.
NewLab Detroit,"Detroit, MI","2050 15th Street, Suite 312, Detroit, MI 48216, USA",42.3258,-83.0735,MI,Accelerator/Incubator Programs,"Tech innovation, design, and engineering",https://www.newlab.com/,brandoncorts@gmail.com,,"Brandon Corts, Engineer, Entrepreneur and Platform Lead.","Access to technical labs, prototyping, capability, and real-world testbeds; helps startups get to market faster."
Global Detroit,"Detroit, MI","2050 15th Street, Suite 312, Detroit, MI 48216, USA",42.3258,-83.0735,MI,Ecosystem & Business Networks,"Immigrant integration, economic development",https://www.globaldetroitmi.org/,rena@globaldetroitmi.org,,"Rena Dam, Global Talent Corporate Outreach Michigan Program Manager",Creates strategies to strengthen the region through immigrant inclusion.
University of Michigan Center for Innovation,"Detroit, MI","2121 Cass Ave, Detroit, MI 48201, United States",42.3357,-83.0526,MI,Educational Institution / Research and Commercialization,"Innovation, Research commercialization, Tech startups",https://detroit.umich.edu/umci/,,,,Expected to open in Spring 2027
"Michigan Economic Development Corporation, Office of Future Mobility & Electrification","Detroit, MI","300 N Washington Sq, Lansing, MI 48913",42.7362,-84.5513,MI,Ecosystem & Business Networks,"Mobility innovation, electric vehicles",https://www.michiganbusiness.org/ofme/,,888.522.0103,,Public and private partnerships to enhance Michigan's mobility ecosystem.
New Economy Initiative (NEI),"Detroit, MI","333 West Fort Street, Suite 2010, Detroit, MI 48226-3134",42.3281,-83.0497,MI,VC and Funding,"Grants, resources",https://neweconomyinitiative.org/,,(313) 961-6675,,Philanthropy-led entrepreneurial development strategy working to build a network of support for entrepreneurs and small businesses in southeast Michigan.
Wayne State University Division of Research & Innovation,"Detroit, MI","5057 Woodward Ave, Suite 6409, Detroit, MI 48202",42.3579,-83.0649,MI,Educational Institution / Research and Commercialization,"Higher education, Research, Innovation",https://research.wayne.edu/key-research,julie.oconnor@wayne.edu,313-577-8845,"O'Connor, Julie, Director, Research Communications","Various areas of research, including: big data, fundamental sciences, translational neurosciences."
ID Ventures,"Detroit, MI","4219 Woodward Ave, Suite 300, Detroit, MI 48201",42.3496,-83.0593,MI,VC and Funding,"Tech, Health, Mobility",https://idventures.com/,info@investdetroit.com,,,"Seed, Series A; Supports companies with high-growth potential in post-idea stage, seeking funding in the pre-seed to Series A rounds."
ProsperUs Detroit,"Detroit, MI","440 Burroughs St, Suite 360, Detroit, MI 48202",42.3649,-83.0727,MI,Entrepreneurship/Small Business/Non-Profit Support,"Training, financial coaching, business services, lending",https://prosperusdetroit.org/,info@prosperusdetroit.org,313-586-0655,,"Supports entrepreneurs with opportunities and capital to build businesses, generational wealth, and vibrant neighborhoods."
TechTown Detroit,"Detroit, MI","440 Burroughs St., Detroit, MI 48202",42.3649,-83.0727,MI,Accelerator/Incubator Programs,"Business incubator, tech startups",https://www.techtowndetroit.org/,jacobs@techtowndetroit.org,,"Jacob Evan Smith, Director, Mobility and Health Innovation","Offers programs and resources for small business owners, tech founders, and entrepreneurs."
Ecotek Lab,"Detroit, MI","440 Burroughs St, Suite 518, Detroit, MI 48202",42.3649,-83.0727,MI,Ideation and Scaling,"Clean technology, sustainable innovation",https://ecotek-us.com/,Ecoteklab@gmail.com,(313) 399-7893,,Science research organization creating opportunities for academically gifted middle and high school students.
Detroit Economic Growth Corp (DEGC)- Detroit Means Business,"Detroit, MI","500 Griswold St #2200, Detroit, MI 48226",42.3306,-83.0466,MI,Ecosystem & Business Networks,"Economic development, business expansion, Small business funding, mentorship, access to City services",https://www.degc.org/,dwhite@degc.org,3132374621,"DAVID WHITE, Vice President",Secondary link: https://www.detroitmeansbusiness.org/
Invest Detroit,"Detroit, MI","600 Renaissance Center, Suite 1710, Detroit, MI 48243",42.32806,-83.04083,MI,VC and Funding,"Venture capital, urban redevelopment revitalization",https://investdetroit.com/,info@investdetroit.com,313.259.6368,,"Strengthening neighborhoods, increasing density, growing job opportunities, supporting inclusivity"
100K Ideas,"Flint, MI","601 Saginaw St, Flint, MI 48502",43.0151,-83.6894,MI,Ideation and Scaling,"Innovation, prototyping, student ideas",https://100kideas.org/,hey@100kideas.org,​810-213-4720​,,"Vet entrepeneurial ideas to help in business development to anyone, regardless of prior experience or background."
Detroit Regional Chamber,"Detroit, MI","777 Woodward Ave, Suite 800, Detroit, MI 48226",42.3314,-83.0474,MI,Business Chamber/Association,"Economic growth, advocacy, leadership, regional collaboration",https://www.detroitchamber.com/,lostrow@detroitchamber.com,,"Lori Ostrow, Vice President, Member and Investor Relations",Creates a business-friendly climate and drives economic growth.
Innovate Michigan!,"Detroit, MI","777 Woodward Ave, Suite 800, Detroit, MI 48226",42.3314,-83.0474,MI,Ecosystem & Business Networks,"Tech innovation, economic development",https://michauto.org/innovate-michigan/,,,,"Collaboration between Detroit Regional Chamber and University of Michigan to foster innovation, technological advancement, and economiv growth from ANn Arbor to Detroit."
MichAuto,"Detroit, MI","777 Woodward Ave, Suite 800, Detroit, MI 48226",42.3314,-83.0474,MI,Ecosystem & Business Networks,"Automotive, technology, mobility innovation",https://www.michauto.org/,,,,"Promotes, retains, and grows auto industry as Michigan's only automotive and mobility association."
Fontinalis Partners,"Detroit, MI","One Woodward Ave, Suite 1600, Detroit, MI 48226",42.3289,-83.0456,MI,VC and Funding,"Mobility, Transportation, Logistics",https://www.fontinalis.com/,,,,"Series A, Growth, Mobility Focus Invests in early-stage startups in efficient movement, industrial innovation, and sustainability."
Wayne State University Office for Technology Commercialization,"Detroit, MI","5057 Woodward, Suite 6400, Detroit, MI 48202",42.3579,-83.0649,MI,Educational Institution / Research and Commercialization,"Technology commercialization, Licensing, Venture development",https://techtransfer.wayne.edu/,,313-577-5903,"Bramdon Stawiasz, Project Manager, Innovation Programs","Responsible for the identification, protection, marketing, and licensing of intellectual property developed by WSU faculty, staff, and corporate research alliances."
Red Cedar Ventures (Michigan State University),"East Lansing, MI","325 E Grand River Ave, Suite 200, East Lansing, MI 48823",42.7346,-84.4808,MI,VC and Funding,"Tech, Early-Stage",https://michiganvca.org/investor/red-cedar-ventures-msu/,,(517) 353-9268,,"Seed, Series A; supports startups emerging from Michigan State University."
MSU Research Foundation/Spartan Ventures,"East Lansing, MI","325 E Grand River Ave, East Lansing, MI 48823",42.7346,-84.4808,MI,Accelerator/Incubator Programs,"Research commercialization, startup support, funding",https://msufoundation.org/,,(517) 353-9268,,"Provides guidance on IP strategy, access to non-dilutive funding, expert mentorship."
MSU Innovation Center,"East Lansing, MI","325 East Grand River Ave., East Lansing, MI 48823",42.7346,-84.4808,MI,Accelerator/Incubator Programs,"Commercialization, Business Support",https://innovationcenter.msu.edu/,,(517) 353-9269,,Michigan State University's hub for creating partnerships that develop economic value.
Technology Innovation Center,"East Lansing, MI","366 W. Circle Drive (10), East Lansing, MI 48824 USA",42.7309,-84.4832,MI,Accelerator/Incubator Programs,"Coworking, startup support",https://msufoundation.org/east-lansing-tic/,,4147781400,,"Supports early stage technology startups in the Greater Lansing region. Offers private offices, colaborative workspaces, and startup services."
Beringea,"Farmington Hills, MI","32330 West 12 Mile Road, Farmington Hills, MI 48334",42.5063,-83.3776,MI,VC and Funding,"Entrepreneurs, scaling, growth",https://www.beringea.com/,info@beringea.com,2484899000,,"Series A, Series B, Growth; transatlantic VC investor"
The Ferris Wheel,"Flint, MI","615 Saginaw St, Flint, MI 48502",43.0148,-83.6893,MI,Innovation Hub / Coworking Space,"Office space, conference rooms, phones, wifi, printers",https://www.ferriswheelflint.com/,hey@ferriswheelflint.com,810-213-4710,,"Provides space for entrepreneurs in search for coworking spaces, engineers ready to collaborate, and connections to inspiring innovators."
Lansing Economic Area Partnership (LEAP),"Lansing, MI","1000 S Washington Ave, Lansing, MI 48910",42.723,-84.5527,MI,Ecosystem & Business Networks,"Economic development, business growth, regional growth",https://www.purelansing.com/,harrison@purelansing.com,,"Harrison Leffel-Jones, Vice President of Small Business & Innovation","Economic development organization represengint the tri-county region of Clinton, Eaton, and Ingham."
Small Business Association of Michigan (SBAM),"Lansing, MI","101 S. Washington Square Suite 900, Lansing, MI 48933",42.7333,-84.5518,MI,Business Chamber/Association,"Advocacy, small business resources, networking",https://www.sbam.org/,michael.brown@sbam.org,517.492.1234,Michael Brown | Chief Operating Officer,"Advocates for small businesses, brings business owners together to share knowledge, creates collaboration and partnerships, delivers group buying power."
Michigan Economic Development Corporation (MEDC),"Lansing, MI","300 N Washington Sq, Lansing, MI 48913",42.7362,-84.5513,MI,Economic Development,"Business attraction, incentives, community development",https://www.michiganbusiness.org/,grinnellm@michigan.org,,"Michelle Grinnell, Chief Communications & Attraction Officer",Assists businesses in their growth strategies and fosters the growth of vibrant communities across the state.
Lansing Regional Chamber of Commerce,"Lansing, MI","500 E Michigan Ave, Lansing, MI 48912",42.7325,-84.5419,MI,Business Chamber/Association,"Advocacy, networking, business resources",https://www.lansingchamber.org/,,517.487.6339,,"Supports Lansing-area businesses to connect, grow, and thrive."
Michigan Translational Research and Commercialization (MTRAC),"Houghton, MI","1400 Townsend Dr, Houghton, MI 49931",47.1216,-88.5694,MI,Educational Institution / Research and Commercialization,"Translational research, commercialization",https://www.mtu.edu/research/innovation/mtrac/,,,,Supports collaborative translational research projects led by researchers and business advisors.
Innovation Works,"Plymouth, MI","41100 Plymouth Rd Suite 345, Plymouth, MI 48170",42.3705,-83.4839,MI,Accelerator/Incubator Programs,"Innovation, startups, business development",https://www.innovationworks.com/,,412.681.1520,,Provides software and design services that transform ideas into interactive experiences.
OU Inc,"Rochester Hills, MI","419 Golf View Ln, Rochester, MI 48309",42.6626,-83.1866,MI,Accelerator/Incubator Programs,"Business acceleration, entrepreneurial and business startup resources, strategic business solutions technological innovation",https://www.oakland.edu/ouinc/,asmith18@oakland.edu,(248) 648-4829,"Agatha Smith, Business Manager","Focuses on companies specializing in alternative energy, advanced/additive manufacturing, advanced automotive, advanced technology innovations, IT & digital technologies, medical devices, and mobility technologies."
Centropolis,"Southfield, MI","21415 Civic Center Dr #100, Southfield, MI 48075",42.4739,-83.2441,MI,Accelerator/Incubator Programs,"Technology, innovation, programs, funding, expert guidance",https://www.centrepolisaccelerator.com/,info@centrepolisaccelerator.com,248-204-2453,,"Offers tailored programs, funding, expert guidance to support startups and established small businesses in transforming hardtech prototypes into market-ready products."
Automation Alley,"Troy, MI","2675 Bellingham Dr, Troy, MI 48083",42.560326,-83.11544,MI,Accelerator/Incubator Programs,"Automation, tech innovation, business growth programs, services",https://www.automationalley.com/,kampen@automationalley.com,2484573301,Nicole Kampe,"Equips businesses with knowledge, insights, and tools to develop a software-first mindset that leverages the power of automation, AI, and congitive technologies."
Michigan Small Business Development Center - State Headquarters,"Grand Rapids, MI","50 Front Ave. SW Grand Rapids, MI 49504",42.962015,-85.679395,MI,Ecosystem & Business Networks,"Small business development, entrepreneurship",https://www.sbdcmichigan.org/,hellinge@gvsu.edu,,"Lizz Hellinga, Assistant State Director, Technology, Strategy & Operations","Seidman Collage of Business, Grand Valley State University"
Michigan Small Business Development Center - Capital Region,"Lansing, MI","309 N. Washington Square, Suite 115, Lansing MI 48933",42.7359,-84.5516,MI,Ecosystem & Business Networks,"Small business development, entrepreneurship",https://www.sbdcmichigan.org/,hellinge@gvsu.edu,,"Lizz Hellinga, Assistant State Director, Technology, Strategy & Operations","Serving Clinton, Eaton, and Ingham counties. Lansing Community College."
Michigan Small Business Development Center - I-68 Trade Corridor Region,"Flint, MI","1700 University Ave. Campus Center, 5th Floor. Flint, MI 48504",43.013561,-83.713943,MI,Ecosystem & Business Networks,"Small business development, entrepreneurship",https://www.sbdcmichigan.org/,hellinge@gvsu.edu,,"Lizz Hellinga, Assistant State Director, Technology, Strategy & Operations","Serving Genesee, Huron, Lapeer, Sanilac, Shiawassee, St. Clair, and Tuscola counties. Kettering University."
Michigan Small Business Development Center - Lake Huron Region,"University Center, MI","7400 Bay Rd., C300 University Center, MI 48710",43.5136,-83.96116,MI,Ecosystem & Business Networks,"Small business development, entrepreneurship",https://www.sbdcmichigan.org/,hellinge@gvsu.edu,,"Lizz Hellinga, Assistant State Director, Technology, Strategy & Operations","Serving Alcona, Alpena, Arenac, Bay, Cheboygan, Crawford, Iosco, Midland, Montmorency, Ogemaw, Oscode, Otsego, Presque Isle, Roscommon, and Saginaw counties. Saginaw Valley State University."
Michigan Small Business Development Center - Greater Washtenaw Region,"Ann Arbor, MI","4800 East Huron Driver Dr. Morris Lawrence Building, Room 162. Ann Arbor, MI 48105",42.26256,-83.66229,MI,Ecosystem & Business Networks,"Small business development, entrepreneurship",https://www.sbdcmichigan.org/,hellinge@gvsu.edu,,"Lizz Hellinga, Assistant State Director, Technology, Strategy & Operations","Serving Hillsdale, Jackson, Lenawee, Livingston, Monroe, Wasthenaw counties. Washtenaw Community College."
Michigan Small Business Development Center - Mid Michigan Region,"Mr. Pleasant, MI","2600 S. Summerton Rd. Mt. Pleasant, MI 48858",43.60374923,-84.7295607,MI,Ecosystem & Business Networks,"Small business development, entrepreneurship",https://www.sbdcmichigan.org/,hellinge@gvsu.edu,,"Lizz Hellinga, Assistant State Director, Technology, Strategy & Operations","Serving Clare, Gladwin, Gratiot, and Isabella counties. Mid Michigan College."
Michigan Small Business Development Center - Northwest Region,"Cadillac, MI","9600 E. 13th St. Cadillac, MI 49601",44.26509767,-85.38465776,MI,Ecosystem & Business Networks,"Small business development, entrepreneurship",https://www.sbdcmichigan.org/,hellinge@gvsu.edu,,"Lizz Hellinga, Assistant State Director, Technology, Strategy & Operations","Serving Antrim, Benzie, Charlevoix, Emmet, Grand Traverse, Kalkaska, Leelanau, Manistee, Missaukee, and Wexford counties. Baker College."
Michigan Small Business Development Center - Southeast Region,"Ypsilanti, MI","109 Hill Hall, 1125 Oakwood St, Ypsilanti, MI 48197",42.25131905,-83.62913357,MI,Ecosystem & Business Networks,"Small business development, entrepreneurship",https://www.sbdcmichigan.org/,hellinge@gvsu.edu,,"Lizz Hellinga, Assistant State Director, Technology, Strategy & Operations","Serving Macomb, Oakland, and Wayne counties. Eastern Michigan University."
Michigan Small Business Development Center - Southwest Region,"Kalamazoo, MI","262 W. Walwood Hall, 741 Oakland Drive, Kalamazoo, MI 49008",42.28410197,-85.59771039,MI,Ecosystem & Business Networks,"Small business development, entrepreneurship",https://www.sbdcmichigan.org/,hellinge@gvsu.edu,,"Lizz Hellinga, Assistant State Director, Technology, Strategy & Operations","Serving Berrien, Branch, Calhoun, Cass, Kalamazoo, St. Joseph, and Van Buren counties. Western Michigan University."
Michigan Small Business Development Center - Upper Peninsula Region,"Houghton, MI","1400 Townsend Dr, Houghton, MI 49931",47.1216,-88.5694,MI,Ecosystem & Business Networks,"Small business development, entrepreneurship",https://www.sbdcmichigan.org/,hellinge@gvsu.edu,,"Lizz Hellinga, Assistant State Director, Technology, Strategy & Operations","Serving Alger, Baraga, Chippewa, Delta, Dickinson, Gogebic, Houghton, Iron, Keweenaw, Luce, Mackinac, Marquette, Menominee, ONtonagon, and Schoolcraft counties. Michigan Technological University."
Michigan Small Business Development Center - West Michigan Region,"Grand Rapids, MI","50 Front Ave. SW L. William Seidman Center, Suite 1081, Grand Rapids, MI 49504",42.96183434,-85.6792428,MI,Ecosystem & Business Networks,"Small business development, entrepreneurship",https://www.sbdcmichigan.org/,hellinge@gvsu.edu,,"Lizz Hellinga, Assistant State Director, Technology, Strategy & Operations","Serving Allegan, Barry, Ionia, Kent, Lake, Mason, Mecosta, Montcalm, Muskegon, Newaygo, Oceana, Osceola, and Ottawa counties. Grand Valley State University."
Assembly Ventures,"Detroit, MI","1555 Broadway St, 3rd Floor, Detroit, MI 48226",42.33631129,-83.04941012,MI,VC and Funding,"Mobility, Transportation",https://assemblyventures.com/,contact@assemblyventures.com,,,"Seed, Series A, Series B"
Augment Ventures,"Ann Arbor, MI","206 S 4th Ave, Ann Arbor, MI 48104",42.28028358,-83.74759966,MI,VC and Funding,"AI, Tech, Early-Stage, Fintech",https://www.augmentventures.com/,hello@augmentventures.com,,,"Seed, Series A, Series B. Provides strategy, networks, mentorship, capital."
BELLE Impact Fund,"Grosse Pointe Farms, MI","26 Windermere Pl, Grosse Pointe Farms, MI 48236",42.4137705,-82.886131,MI,VC and Funding,"Impact Investing, Women-Led Startups",https://www.bellefunds.com/,,,,"Seed, Series A, Series B. Receive access to BELLE's capital and a network of partners to support the success of portfolio companies."
Business Leaders for Michigan,"Detroit, MI","600 Renaissance Center, Suite 1760, Detroit, MI 48243-1802",42.33016242,-83.03833737,MI,Ideation and Scaling,"Economic development, advocacy",https://www.businessleadersformichigan.com/,Peterh@businessleadersformichigan.com,,"Peter Hill, Vice President of Strategic Initiatives","Develops strategies, raises awareness, advocates for policies, and champions initiatives that strengthen Michigan's economy."
Detroit Venture Partners (DVP),"Detroit, MI","1555 Broadway St, 3rd Floor, Detroit, MI 48226-2159",42.33631129,-85.6792428,MI,VC and Funding,"Venture capital, startups, scaling",https://www.detroit.vc/,info@detroit.vc,,,"Founded by Dan Gilbert, Rocket Companies Founder and Chairman, with a vision to grow Detroit's entrepreneurial community."
Global Epicenter of Mobility,"Detroit, MI","2050 15th St, Detroit, MI 48216",42.3258,-83.0735,MI,Economic Development,"Mobility innovation, startups",https://gemdetroitregion.com/,,,,"Creates a smart, secure, sustainable, and advanced mobility industry, starting with the transition to next-generation electric, autonomous, and fully connected vehicles."
"Goldman Sachs 10,000 Small Businesses","Detroit, MI","461 Burroughs, Detroit MI 48202",42.36461775,-83.07276573,MI,Ideation and Scaling,"Small business growth, education, entrepreneurship, financial support",http://10ksbdetroit.com/,,,,"Helps entrepreneurs create jobs and economic opportunity by providing them with greater access to education, financial capital, and business support services."
Ludlow Ventures,"Detroit, MI","1555 Broadway St, 3rd Floor, Detroit, MI 48226",42.33631129,-83.04941012,MI,VC and Funding,"Consumer Tech, SaaS, Web3",https://www.ludlowventures.com/,,,,"Seed, Series A, Series B"
Mercury Fund,"Detroit, MI","1420 Washington Blvd, Suite 301, Detroit, MI 48226",42.33416257,-83.05049573,MI,VC and Funding,"SaaS, Industrial Tech, Data",https://www.mercuryfund.com/,info@mercuryfund.com,713.715.6820,,"Seed, Series A.  Seeks out entrepreneurs in the early-stages of product-market fit and/or seeking to scale their startup."
Michigan Angel Fund,"Ann Arbor, MI","201 S Division Street, Suite 430, Ann Arbor, MI 48104",42.27992954,-83.7436831,MI,VC and Funding,"Tech, Early-Stage",https://www.miangelfund.com/,,,,"Seed, Angel. Provides funding to capital efficient early stage companies located in Michigan."
Michigan Capital Network,"Grand Rapids, MI","37 Ottawa Ave NW, Suite 200, Grand Rapids, MI 49503",42.96434826,-85.6716015,MI,VC and Funding,"Tech, Early-Stage",https://www.michigancapitalnetwork.com/,investments@michigancapitalnetwork.com,616 - 566 - 1770,,"Invests in life sciences, advanced manufacturing, advanced agriculture, software & IT."
Michigan Founders Fund,"Ann Arbor, MI","206 E Huron St, Suite 305, Ann Arbor, MI 48104",42.2813183,-83.746796,MI,Entrepreneurship/Small Business/Non-Profit Support,"Entrepreneur community, impact-driven startup support",https://michiganfoundersfund.org/,brittni@michiganfoundersfund.org,,"Brittni Abiolu, Program Manager, MFF Pre-Accelerator",Network of entrepreneurs and investors who have pledged 1% of equity or carry to support impactful local organizations in Michigan to better our communities and enrich quality of life.
Midwest House,"Grand Rapids, MI","40 Pearl St NW, Grand Rapids, MI 49503",42.96634384,-85.66988351,MI,Innovation Hub / Coworking Space,"Business innovation, culture, creative industries",https://www.midwesthouse.org/,,,,"Global showcase of talent and innovative thinking, as well as networking. Year-round events for innovators and creatives."
Michigan Small Business Support Hubs,"Okemos, MI","2501 Woodlake Circle, Okemos, MI 48864",42.67958732,-84.44234777,MI,Ecosystem & Business Networks,"Entrepreneurship, innovation, tech startups, community development",https://www.michigan.gov/leo/initiatives/mi-small-business,,888.522.0103,,"Programs such as small business lending, manufacturing technology grants, early stage funding, mobility funding, and the Michigan business development program."
Brampton Entrepreneur Centre,"Brampton, ON","41 George St S, Brampton, ON L6Y 2E1",43.6845,-79.7604,ON,Government Program - Business Centre,"Workshops, one-on-one help, resources, coworking",https://www.brampton.ca/EN/Business/BEC/Pages/Welcome.aspx,bec@brampton.ca,905-874-2650,,"City-run source for small business information, resources, and guidance."
